"DISCIPLINA","PRE_REQUISITO"
"ALGEBRA LINEAR","ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA"
"ALGEBRA LINEAR I","ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA"
"ANÁLISE E TÉCNICA DE ALGORITMOS","CALCULO DIFERENCIAL E INTEGRAL II"
"ANÁLISE E TÉCNICA DE ALGORITMOS","ESTRUTURA DE DADOS E ALGORITMOS"
"ANÁLISE E TÉCNICA DE ALGORITMOS","LAB.DE ESTRUTURA DE DADOS E ALGORITMOS"
"ANÁLISE E TÉCNICA DE ALGORITMOS","LÓGICA MATEMÁTICA"
"AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS","PROBABILIDADE E ESTATÍSTICA"
"BANCO DE DADOS I","SISTEMAS DE INFORMACAO I"
"BANCO DE DADOS I","SISTEMAS DE INFORMAÇÃO I"
"BANCO DE DADOS II","BANCO DE DADOS I"
"BANCO DE DADOS II","INTRODUÇÃO A BANCO DE DADOS"
"BANCO DE DADOS II","METODOLOGIA DE PROGRAMAÇÃO"
"BANCO DE DADOS II","SISTEMAS DE INFORMACAO II"
"BANCO DE DADOS II","SISTEMAS DE INFORMAÇÃO II"
"CALCULO DIF E INTEGRAL II","CALCULO DIFERENCIAL E INTEGRAL I"
"CALCULO DIFERENCIAL E INTEGRAL II","CALCULO DIFERENCIAL E INTEGRAL I"
"CALCULO DIFERENCIAL E INTEGRAL III","ALGEBRA LINEAR"
"CALCULO DIFERENCIAL E INTEGRAL III","ALGEBRA LINEAR I"
"CALCULO DIFERENCIAL E INTEGRAL III","CALCULO DIFERENCIAL E INTEGRAL II"
"COMPILADORES","ESTRUTURAS E PROJ DE LINGUAGEM"
"COMPILADORES","LAB.DE ORG.E ARQUITETURA DE COMPUTADORES"
"COMPILADORES","ORG.E ARQUITETURA DE COMPUTADORES I"
"COMPILADORES","ORGANIZACAO DE COMPUTADORES"
"COMPILADORES","PARADIGMAS DE LING. DE PROGRAMAÇÃO"
"COMPILADORES","SOFTWARE BASICO"
"COMPILADORES","TECC (PARADIGMAS DE LING DE PROGRAM)"
"EMPREENDEDORISMO","BANCO DE DADOS I"
"EMPREENDEDORISMO","INTRODUÇÃO A BANCO DE DADOS"
"EMPREENDEDORISMO","SISTEMAS DE INFORMAÇÃO I"
"ENGENHARIA DE SOFTWARE I","LABORATÓRIO DE PROGRAMAÇÃO II"
"ENGENHARIA DE SOFTWARE I","LINGUAGEM DE PROGRAMAÇÃO II"
"ENGENHARIA DE SOFTWARE I","PROBABILIDADE E ESTATÍSTICA"
"ENGENHARIA DE SOFTWARE I","PROGRAMAÇÃO II"
"EQUACOES DIFERENCIAIS","ALGEBRA LINEAR"
"EQUACOES DIFERENCIAIS","ALGEBRA LINEAR I"
"EQUACOES DIFERENCIAIS","CALCULO DIFERENCIAL E INTEGRAL II"
"ESTRUTURA DE DADOS E ALGORITMOS","LABORATÓRIO DE PROGRAMAÇÃO II"
"ESTRUTURA DE DADOS E ALGORITMOS","LINGUAGEM DE PROGRAMAÇÃO II"
"ESTRUTURA DE DADOS E ALGORITMOS","PROGRAMAÇÃO II"
"ESTRUTURA DE DADOS E ALGORITMOS","TEORIA DOS GRAFOS"
"FUNDAMENTOS DE FÍSICA CLÁSSICA","ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA"
"FUNDAMENTOS DE FÍSICA CLÁSSICA","CALCULO DIFERENCIAL E INTEGRAL I"
"FUNDAMENTOS DE FÍSICA MODERNA","CALCULO DIFERENCIAL E INTEGRAL II"
"FUNDAMENTOS DE FÍSICA MODERNA","FUNDAMENTOS DE FÍSICA CLÁSSICA"
"FÍSICA GERAL I","ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA"
"FÍSICA GERAL I","CALCULO DIFERENCIAL E INTEGRAL I"
"INTELIGENCIA ARTIFICIAL I","ANÁLISE E TÉCNICA DE ALGORITMOS"
"INTELIGENCIA ARTIFICIAL I","METODOS ESTATISTICOS"
"INTELIGENCIA ARTIFICIAL I","PARADIGMAS DE LING. DE PROGRAMAÇÃO"
"INTELIGENCIA ARTIFICIAL I","PROBABILIDADE E ESTATÍSTICA"
"INTELIGENCIA ARTIFICIAL I","PROJETO E ANÁLISE DE ALGORITMOS"
"INTELIGENCIA ARTIFICIAL I","TECC (PARADIGMAS DE LING DE PROGRAM)"
"INTERCONEXÃO DE REDES DE COMPUTADORES","REDES DE COMPUTADORES"
"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS","INTRODUÇÃO A COMPUTAÇÃO"
"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS","LABORATÓRIO DE PROGRAMAÇÃO I"
"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS","PROGRAMAÇÃO I"
"LAB.DE INTERCON.DE REDES DE COMPUTADORES","REDES DE COMPUTADORES"
"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES","ESTRUTURA DE DADOS"
"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES","ESTRUTURA DE DADOS E ALGORITMOS"
"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES","FUNDAMENTOS DE FÍSICA MODERNA"
"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES","LAB.DE ESTRUTURA DE DADOS E ALGORITMOS"
"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES","TECC (LAB DE ESTRUTURA DE DADOS)"
"LABORATÓRIO DE ENGENHARIA DE SOFTWARE","ENGENHARIA DE SOFTWARE"
"LABORATÓRIO DE ENGENHARIA DE SOFTWARE","ENGENHARIA DE SOFTWARE I"
"LABORATÓRIO DE PROGRAMAÇÃO II","INTRODUÇÃO A COMPUTAÇÃO"
